experiment,fold,strategy,params,risk_fraction,direction_mode,session_preset,cooldown_bars_after_stop,minimum_stop_distance_to_cost,cost_multiplier,total_return_pct,max_drawdown_pct,trade_count
breakout|{'lookback': 20}|risk=0.005|dir=both|session=all|cooldown=0|cost_buffer=1.5|regime=none,1,breakout,{'lookback': 20},0.005,both,all,0,1.5,1.0,3.7651075862679573,22.945416295324208,76
breakout|{'lookback': 20}|risk=0.005|dir=both|session=all|cooldown=0|cost_buffer=1.5|regime=none,1,breakout,{'lookback': 20},0.005,both,all,0,1.5,1.5,-12.358582940137186,20.543908094072382,64
breakout|{'lookback': 20}|risk=0.005|dir=both|session=all|cooldown=0|cost_buffer=1.5|regime=none,2,breakout,{'lookback': 20},0.005,both,all,0,1.5,1.0,-28.90611176155233,31.977938592849974,86
breakout|{'lookback': 20}|risk=0.005|dir=both|session=all|cooldown=0|cost_buffer=1.5|regime=none,2,breakout,{'lookback': 20},0.005,both,all,0,1.5,1.5,-30.3808923840726,33.373300836370746,79
breakout|{'lookback': 20}|risk=0.005|dir=both|session=all|cooldown=0|cost_buffer=1.5|regime=none,3,breakout,{'lookback': 20},0.005,both,all,0,1.5,1.0,-20.677836192167078,32.93329495935301,71
breakout|{'lookback': 20}|risk=0.005|dir=both|session=all|cooldown=0|cost_buffer=1.5|regime=none,3,breakout,{'lookback': 20},0.005,both,all,0,1.5,1.5,-11.16328734886568,23.700362325219228,63
"breakout|{'lookback': 20}|risk=0.005|dir=both|session=all|cooldown=0|cost_buffer=1.5|regime={'label': 'trend_quality', 'min_adx': 20.0, 'min_abs_slope': 0.35, 'min_atr_percentile': 0.15, 'max_atr_percentile': 0.85, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': False, 'max_distance_from_ema50_atr': 2.5, 'min_volume_ratio': 0.9}",1,breakout,{'lookback': 20},0.005,both,all,0,1.5,1.0,-7.07729492823349,9.770518819112029,6
"breakout|{'lookback': 20}|risk=0.005|dir=both|session=all|cooldown=0|cost_buffer=1.5|regime={'label': 'trend_quality', 'min_adx': 20.0, 'min_abs_slope': 0.35, 'min_atr_percentile': 0.15, 'max_atr_percentile': 0.85, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': False, 'max_distance_from_ema50_atr': 2.5, 'min_volume_ratio': 0.9}",1,breakout,{'lookback': 20},0.005,both,all,0,1.5,1.5,-4.222515667066928,6.956222720762206,3
"breakout|{'lookback': 20}|risk=0.005|dir=both|session=all|cooldown=0|cost_buffer=1.5|regime={'label': 'trend_quality', 'min_adx': 20.0, 'min_abs_slope': 0.35, 'min_atr_percentile': 0.15, 'max_atr_percentile': 0.85, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': False, 'max_distance_from_ema50_atr': 2.5, 'min_volume_ratio': 0.9}",2,breakout,{'lookback': 20},0.005,both,all,0,1.5,1.0,-0.19884812242573213,10.732040041970304,8
"breakout|{'lookback': 20}|risk=0.005|dir=both|session=all|cooldown=0|cost_buffer=1.5|regime={'label': 'trend_quality', 'min_adx': 20.0, 'min_abs_slope': 0.35, 'min_atr_percentile': 0.15, 'max_atr_percentile': 0.85, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': False, 'max_distance_from_ema50_atr': 2.5, 'min_volume_ratio': 0.9}",2,breakout,{'lookback': 20},0.005,both,all,0,1.5,1.5,2.5113717134187308,9.591981512053271,7
"breakout|{'lookback': 20}|risk=0.005|dir=both|session=all|cooldown=0|cost_buffer=1.5|regime={'label': 'trend_quality', 'min_adx': 20.0, 'min_abs_slope': 0.35, 'min_atr_percentile': 0.15, 'max_atr_percentile': 0.85, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': False, 'max_distance_from_ema50_atr': 2.5, 'min_volume_ratio': 0.9}",3,breakout,{'lookback': 20},0.005,both,all,0,1.5,1.0,-7.230361227248505,10.645215078117353,6
"breakout|{'lookback': 20}|risk=0.005|dir=both|session=all|cooldown=0|cost_buffer=1.5|regime={'label': 'trend_quality', 'min_adx': 20.0, 'min_abs_slope': 0.35, 'min_atr_percentile': 0.15, 'max_atr_percentile': 0.85, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': False, 'max_distance_from_ema50_atr': 2.5, 'min_volume_ratio': 0.9}",3,breakout,{'lookback': 20},0.005,both,all,0,1.5,1.5,-6.6430482858497175,7.783974337411892,5
"breakout|{'lookback': 20}|risk=0.005|dir=both|session=all|cooldown=0|cost_buffer=1.5|regime={'label': 'stacked_trend', 'min_adx': 25.0, 'min_abs_slope': 0.5, 'min_atr_percentile': 0.3, 'max_atr_percentile': 0.7, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': True, 'max_distance_from_ema50_atr': 1.75, 'min_volume_ratio': 1.0}",1,breakout,{'lookback': 20},0.005,both,all,0,1.5,1.0,0.0,0.0,0
"breakout|{'lookback': 20}|risk=0.005|dir=both|session=all|cooldown=0|cost_buffer=1.5|regime={'label': 'stacked_trend', 'min_adx': 25.0, 'min_abs_slope': 0.5, 'min_atr_percentile': 0.3, 'max_atr_percentile': 0.7, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': True, 'max_distance_from_ema50_atr': 1.75, 'min_volume_ratio': 1.0}",1,breakout,{'lookback': 20},0.005,both,all,0,1.5,1.5,0.0,0.0,0
"breakout|{'lookback': 20}|risk=0.005|dir=both|session=all|cooldown=0|cost_buffer=1.5|regime={'label': 'stacked_trend', 'min_adx': 25.0, 'min_abs_slope': 0.5, 'min_atr_percentile': 0.3, 'max_atr_percentile': 0.7, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': True, 'max_distance_from_ema50_atr': 1.75, 'min_volume_ratio': 1.0}",2,breakout,{'lookback': 20},0.005,both,all,0,1.5,1.0,-2.19802556675055,3.460256991031463,1
"breakout|{'lookback': 20}|risk=0.005|dir=both|session=all|cooldown=0|cost_buffer=1.5|regime={'label': 'stacked_trend', 'min_adx': 25.0, 'min_abs_slope': 0.5, 'min_atr_percentile': 0.3, 'max_atr_percentile': 0.7, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': True, 'max_distance_from_ema50_atr': 1.75, 'min_volume_ratio': 1.0}",2,breakout,{'lookback': 20},0.005,both,all,0,1.5,1.5,0.0,0.0,0
"breakout|{'lookback': 20}|risk=0.005|dir=both|session=all|cooldown=0|cost_buffer=1.5|regime={'label': 'stacked_trend', 'min_adx': 25.0, 'min_abs_slope': 0.5, 'min_atr_percentile': 0.3, 'max_atr_percentile': 0.7, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': True, 'max_distance_from_ema50_atr': 1.75, 'min_volume_ratio': 1.0}",3,breakout,{'lookback': 20},0.005,both,all,0,1.5,1.0,0.0,0.0,0
"breakout|{'lookback': 20}|risk=0.005|dir=both|session=all|cooldown=0|cost_buffer=1.5|regime={'label': 'stacked_trend', 'min_adx': 25.0, 'min_abs_slope': 0.5, 'min_atr_percentile': 0.3, 'max_atr_percentile': 0.7, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': True, 'max_distance_from_ema50_atr': 1.75, 'min_volume_ratio': 1.0}",3,breakout,{'lookback': 20},0.005,both,all,0,1.5,1.5,0.0,0.0,0
"breakout|{'lookback': 20}|risk=0.005|dir=both|session=all|cooldown=0|cost_buffer=1.5|regime={'label': 'quiet_trend', 'min_adx': 18.0, 'min_abs_slope': 0.3, 'min_atr_percentile': 0.1, 'max_atr_percentile': 0.6, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': False, 'max_distance_from_ema50_atr': 1.5, 'min_volume_ratio': 0.8}",1,breakout,{'lookback': 20},0.005,both,all,0,1.5,1.0,0.0,0.0,0
"breakout|{'lookback': 20}|risk=0.005|dir=both|session=all|cooldown=0|cost_buffer=1.5|regime={'label': 'quiet_trend', 'min_adx': 18.0, 'min_abs_slope': 0.3, 'min_atr_percentile': 0.1, 'max_atr_percentile': 0.6, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': False, 'max_distance_from_ema50_atr': 1.5, 'min_volume_ratio': 0.8}",1,breakout,{'lookback': 20},0.005,both,all,0,1.5,1.5,0.0,0.0,0
"breakout|{'lookback': 20}|risk=0.005|dir=both|session=all|cooldown=0|cost_buffer=1.5|regime={'label': 'quiet_trend', 'min_adx': 18.0, 'min_abs_slope': 0.3, 'min_atr_percentile': 0.1, 'max_atr_percentile': 0.6, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': False, 'max_distance_from_ema50_atr': 1.5, 'min_volume_ratio': 0.8}",2,breakout,{'lookback': 20},0.005,both,all,0,1.5,1.0,-2.19802556675055,3.460256991031463,1
"breakout|{'lookback': 20}|risk=0.005|dir=both|session=all|cooldown=0|cost_buffer=1.5|regime={'label': 'quiet_trend', 'min_adx': 18.0, 'min_abs_slope': 0.3, 'min_atr_percentile': 0.1, 'max_atr_percentile': 0.6, 'require_trend_alignment': True, 'require_price_above_ema200': True, 'require_ema_stack': False, 'max_distance_from_ema50_atr': 1.5, 'min_volume_ratio': 0.8}",2,breakout,{'lookback': 20},0.005,both,all,0,1.5,1.5,0.0,0.0,0
