strategy,strategy_params,risk_fraction,direction_mode,session_preset,cooldown_bars_after_stop,minimum_stop_distance_to_cost,regime_filter,validation_median_return_pct,validation_median_drawdown_pct,validation_total_trades,validation_positive_folds,cost_robust_positive_folds,stability_ratio,cost_robustness_ratio,selection_score,meets_minimum_validation_trades
compression_breakout_retest,"{'lookback': 48, 'bandwidth_window': 100, 'compression_quantile': 0.2, 'volume_multiplier': 1.25, 'atr_length': 14, 'retest_atr_buffer': 1.0, 'retest_window_bars': 4, 'funding_window': 72, 'max_adverse_funding_z': 1.0}",0.005,both,all,0,1.5,,3.5321106430618032,2.167046362637881,33,3,3,1.0,1.0,"(1.0, 1.0, 3.5321106430618032, -2.167046362637881, 33)",True
compression_breakout_retest,"{'lookback': 48, 'bandwidth_window': 100, 'compression_quantile': 0.2, 'volume_multiplier': 1.25, 'atr_length': 14, 'retest_atr_buffer': 0.75, 'retest_window_bars': 3}",0.005,both,all,0,1.5,,2.807379646291275,2.054299632531398,33,3,3,1.0,1.0,"(1.0, 1.0, 2.807379646291275, -2.054299632531398, 33)",True
compression_breakout,"{'lookback': 48, 'bandwidth_window': 100, 'compression_quantile': 0.2, 'volume_multiplier': 1.25, 'atr_length': 14}",0.005,short_only,all,0,1.5,,1.917028348759664,1.9126698697879974,23,3,3,1.0,1.0,"(1.0, 1.0, 1.917028348759664, -1.9126698697879974, 23)",True
pullback_in_trend,"{'fast_length': 50, 'slow_length': 200, 'rsi_length': 14, 'recovery_level': 45, 'invalidation_window': 10}",0.005,both,all,0,1.5,,6.346195504994934,11.250973193237733,70,2,2,0.6666666666666666,0.6666666666666666,"(0.6666666666666666, 0.6666666666666666, 6.346195504994934, -11.250973193237733, 70)",True
volatility_scaled_momentum,"{'lookback': 48, 'atr_length': 14, 'atr_multiplier': 2.5}",0.005,long_only,europe_us,0,1.5,,6.168230576293321,7.745932301536918,327,2,2,0.6666666666666666,0.6666666666666666,"(0.6666666666666666, 0.6666666666666666, 6.168230576293321, -7.745932301536918, 327)",True
volatility_scaled_momentum,"{'lookback': 48, 'atr_length': 14, 'atr_multiplier': 2.5}",0.005,long_only,all,0,1.5,,5.516553752568987,8.312201867178615,370,2,2,0.6666666666666666,0.6666666666666666,"(0.6666666666666666, 0.6666666666666666, 5.516553752568987, -8.312201867178615, 370)",True
volatility_scaled_momentum,"{'lookback': 48, 'atr_length': 14, 'atr_multiplier': 2.5}",0.005,short_only,europe_us,0,1.5,,5.388118830840671,8.211222270674067,303,2,2,0.6666666666666666,0.6666666666666666,"(0.6666666666666666, 0.6666666666666666, 5.388118830840671, -8.211222270674067, 303)",True
volatility_scaled_momentum,"{'lookback': 48, 'atr_length': 14, 'atr_multiplier': 2.5}",0.005,short_only,all,0,1.5,,5.347683284310878,8.171812066848394,370,2,2,0.6666666666666666,0.6666666666666666,"(0.6666666666666666, 0.6666666666666666, 5.347683284310878, -8.171812066848394, 370)",True
volatility_scaled_momentum,"{'lookback': 48, 'atr_length': 14, 'atr_multiplier': 2.5}",0.005,both,europe_us,0,1.5,,4.972675449591146,8.31768914603056,338,2,2,0.6666666666666666,0.6666666666666666,"(0.6666666666666666, 0.6666666666666666, 4.972675449591146, -8.31768914603056, 338)",True
volatility_scaled_momentum,"{'lookback': 48, 'atr_length': 14, 'atr_multiplier': 2.5}",0.005,both,all,0,1.5,,4.786871778054569,8.505480532964803,381,2,2,0.6666666666666666,0.6666666666666666,"(0.6666666666666666, 0.6666666666666666, 4.786871778054569, -8.505480532964803, 381)",True
compression_breakout,"{'lookback': 48, 'bandwidth_window': 100, 'compression_quantile': 0.2, 'volume_multiplier': 1.25, 'atr_length': 14}",0.005,both,all,0,1.5,,4.502482458901302,3.50300205464823,48,2,2,0.6666666666666666,0.6666666666666666,"(0.6666666666666666, 0.6666666666666666, 4.502482458901302, -3.50300205464823, 48)",True
compression_breakout,"{'lookback': 48, 'bandwidth_window': 100, 'compression_quantile': 0.2, 'volume_multiplier': 1.25, 'atr_length': 14}",0.005,both,europe_us,0,1.5,,3.447886869155692,2.00125075894122,20,2,2,0.6666666666666666,0.6666666666666666,"(0.6666666666666666, 0.6666666666666666, 3.447886869155692, -2.00125075894122, 20)",True
breakout,{'lookback': 100},0.005,both,europe_us,0,1.5,,3.377300560411056,18.849578880511007,52,2,2,0.6666666666666666,0.6666666666666666,"(0.6666666666666666, 0.6666666666666666, 3.377300560411056, -18.849578880511007, 52)",True
compression_breakout,"{'lookback': 48, 'bandwidth_window': 100, 'compression_quantile': 0.2, 'volume_multiplier': 1.25, 'atr_length': 14}",0.005,long_only,all,0,1.5,,2.4971070147392638,2.767261954280631,25,2,2,0.6666666666666666,0.6666666666666666,"(0.6666666666666666, 0.6666666666666666, 2.4971070147392638, -2.767261954280631, 25)",True
breakout,"{'lookback': 100, 'funding_window': 72, 'max_adverse_funding_z': 1.0}",0.005,both,europe_us,0,1.5,,1.627455219531826,17.661929970780378,43,2,2,0.6666666666666666,0.6666666666666666,"(0.6666666666666666, 0.6666666666666666, 1.627455219531826, -17.661929970780378, 43)",True
pullback_in_trend,"{'fast_length': 20, 'slow_length': 200, 'rsi_length': 14, 'recovery_level': 45, 'invalidation_window': 10}",0.005,both,europe_us,0,1.5,,1.3787199694248686,1.8848193750693465,25,2,2,0.6666666666666666,0.6666666666666666,"(0.6666666666666666, 0.6666666666666666, 1.3787199694248686, -1.8848193750693465, 25)",True
compression_breakout_retest,"{'lookback': 48, 'bandwidth_window': 120, 'compression_quantile': 0.25, 'volume_multiplier': 1.1, 'atr_length': 14, 'retest_atr_buffer': 1.25, 'retest_window_bars': 5, 'funding_window': 72, 'max_adverse_funding_z': 0.75}",0.005,short_only,all,0,1.5,,1.240527395792479,2.6547640760564484,22,2,2,0.6666666666666666,0.6666666666666666,"(0.6666666666666666, 0.6666666666666666, 1.240527395792479, -2.6547640760564484, 22)",True
pullback_in_trend,"{'fast_length': 20, 'slow_length': 200, 'rsi_length': 14, 'recovery_level': 45, 'invalidation_window': 10}",0.005,both,all,0,1.5,,1.2047283891986726,2.9583713295383784,44,2,2,0.6666666666666666,0.6666666666666666,"(0.6666666666666666, 0.6666666666666666, 1.2047283891986726, -2.9583713295383784, 44)",True
compression_breakout_retest,"{'lookback': 24, 'bandwidth_window': 100, 'compression_quantile': 0.25, 'volume_multiplier': 1.0, 'atr_length': 14, 'retest_atr_buffer': 1.0, 'retest_window_bars': 4}",0.005,short_only,all,0,1.5,,0.868558016739418,2.7633163641077485,34,2,2,0.6666666666666666,0.6666666666666666,"(0.6666666666666666, 0.6666666666666666, 0.868558016739418, -2.7633163641077485, 34)",True
compression_breakout,"{'lookback': 24, 'bandwidth_window': 100, 'compression_quantile': 0.2, 'volume_multiplier': 1.25, 'atr_length': 14}",0.005,long_only,all,0,1.5,,0.6500664667868694,3.410174184656223,20,2,2,0.6666666666666666,0.6666666666666666,"(0.6666666666666666, 0.6666666666666666, 0.6500664667868694, -3.410174184656223, 20)",True
breakout,{'lookback': 20},0.005,long_only,europe_us,0,1.5,,0.4819541672524297,15.403015589301184,96,2,2,0.6666666666666666,0.6666666666666666,"(0.6666666666666666, 0.6666666666666666, 0.4819541672524297, -15.403015589301184, 96)",True
pullback_in_trend,"{'fast_length': 20, 'slow_length': 200, 'rsi_length': 14, 'recovery_level': 45, 'invalidation_window': 10}",0.005,short_only,all,0,1.5,,0.3158333964971449,1.974171021566895,25,2,2,0.6666666666666666,0.6666666666666666,"(0.6666666666666666, 0.6666666666666666, 0.3158333964971449, -1.974171021566895, 25)",True
compression_breakout,"{'lookback': 48, 'bandwidth_window': 100, 'compression_quantile': 0.2, 'volume_multiplier': 1.25, 'atr_length': 14, 'exit_style': 'time_stop_trail', 'max_hold_bars': 3}",0.005,short_only,all,0,1.5,,0.18643304488283885,1.2389914879091912,23,2,2,0.6666666666666666,0.6666666666666666,"(0.6666666666666666, 0.6666666666666666, 0.18643304488283885, -1.2389914879091912, 23)",True
breakout,{'lookback': 100},0.005,long_only,europe_us,0,1.5,,0.07547129954985632,13.383494923413819,30,2,2,0.6666666666666666,0.6666666666666666,"(0.6666666666666666, 0.6666666666666666, 0.07547129954985632, -13.383494923413819, 30)",True
breakout,"{'lookback': 20, 'funding_window': 72, 'max_adverse_funding_z': 1.0}",0.005,long_only,europe_us,0,1.5,,-0.18009484815423304,14.560851652064233,84,1,2,0.3333333333333333,0.6666666666666666,"(0.6666666666666666, 0.3333333333333333, -0.18009484815423304, -14.560851652064233, 84)",True
breakout,"{'lookback': 100, 'funding_window': 72, 'max_adverse_funding_z': 1.0}",0.005,long_only,all,0,1.5,,-0.2731855232187552,13.484785524774345,42,1,2,0.3333333333333333,0.6666666666666666,"(0.6666666666666666, 0.3333333333333333, -0.2731855232187552, -13.484785524774345, 42)",True
breakout,{'lookback': 100},0.005,long_only,all,0,1.5,,-1.3633313847396744,11.534504484942598,44,1,2,0.3333333333333333,0.6666666666666666,"(0.6666666666666666, 0.3333333333333333, -1.3633313847396744, -11.534504484942598, 44)",True
breakout,"{'lookback': 100, 'funding_window': 72, 'max_adverse_funding_z': 1.0}",0.005,long_only,europe_us,0,1.5,,-1.6184846873108727,11.849273803371174,23,1,2,0.3333333333333333,0.6666666666666666,"(0.6666666666666666, 0.3333333333333333, -1.6184846873108727, -11.849273803371174, 23)",True
